k,z,domain,n_rows,task,reduction_pct,answer_preserved,invariant_preserved,recovered
2,1.5,incident_ops,250,rare_event,79.19715610876995,1,1,0
2,1.5,incident_ops,250,latest_state,99.78632659809898,1,1,1
2,1.5,incident_ops,250,aggregation,99.50206466164138,1,1,1
2,1.5,incident_ops,250,join,99.7697923467614,1,1,1
2,1.5,incident_ops,250,negative_evidence,99.94954933566225,1,1,1
2,1.5,incident_ops,250,threshold,79.19715610876995,1,1,0
2,1.5,incident_ops,250,provenance,79.19715610876995,1,1,0
2,1.5,incident_ops,250,lookup,99.90985462471168,1,1,1
2,1.5,incident_ops,250,rare_event,77.63527096514802,1,1,0
2,1.5,incident_ops,250,latest_state,99.84637196605793,1,1,1
2,1.5,incident_ops,250,aggregation,99.57191527181159,1,1,1
2,1.5,incident_ops,250,join,99.63307023298135,1,1,1
2,1.5,incident_ops,250,negative_evidence,99.9005438347758,1,1,1
2,1.5,incident_ops,250,threshold,77.63527096514802,1,1,0
2,1.5,incident_ops,250,provenance,77.63527096514802,1,1,0
2,1.5,incident_ops,250,lookup,77.23337810753435,1,1,0
2,1.5,incident_ops,250,rare_event,77.23337810753435,1,1,0
2,1.5,incident_ops,250,latest_state,99.80762630350128,1,1,1
2,1.5,incident_ops,250,aggregation,99.58516773376158,1,1,1
2,1.5,incident_ops,250,join,99.69300717375921,1,1,1
2,1.5,incident_ops,250,negative_evidence,99.92542341281107,1,1,1
2,1.5,incident_ops,250,threshold,77.23337810753435,1,1,0
2,1.5,incident_ops,250,provenance,77.23337810753435,1,1,0
2,1.5,incident_ops,500,lookup,99.95354648215357,1,1,1
2,1.5,incident_ops,500,rare_event,72.64237791103409,1,1,0
2,1.5,incident_ops,500,latest_state,99.90348698346976,1,1,1
2,1.5,incident_ops,500,aggregation,99.63505352760377,1,1,1
2,1.5,incident_ops,500,join,99.87432096199083,1,1,1
2,1.5,incident_ops,500,negative_evidence,99.97528842543785,1,1,1
2,1.5,incident_ops,500,threshold,72.64237791103409,1,1,0
2,1.5,incident_ops,500,provenance,72.64237791103409,1,1,0
2,1.5,incident_ops,500,lookup,75.61738185745553,1,1,0
2,1.5,incident_ops,500,rare_event,75.61738185745553,1,1,0
2,1.5,incident_ops,500,latest_state,99.90324315779534,1,1,1
2,1.5,incident_ops,500,aggregation,99.61254825906644,1,1,1
2,1.5,incident_ops,500,join,99.87512850518105,1,1,1
2,1.5,incident_ops,500,negative_evidence,99.97517423127644,1,1,1
2,1.5,incident_ops,500,threshold,75.61738185745553,1,1,0
2,1.5,incident_ops,500,provenance,75.61738185745553,1,1,0
2,1.5,incident_ops,500,lookup,99.95469890152793,1,1,1
2,1.5,incident_ops,500,rare_event,79.01434570148804,1,1,0
2,1.5,incident_ops,500,latest_state,99.90388104164943,1,1,1
2,1.5,incident_ops,500,aggregation,99.63493892308574,1,1,1
2,1.5,incident_ops,500,join,99.91417192350373,1,1,1
2,1.5,incident_ops,500,negative_evidence,99.97506848210553,1,1,1
2,1.5,incident_ops,500,threshold,79.01434570148804,1,1,0
2,1.5,incident_ops,500,provenance,79.01434570148804,1,1,0
2,1.5,incident_ops,500,lookup,99.95289494511836,1,1,1
2,1.5,incident_ops,500,rare_event,74.4172871307717,1,1,0
2,1.5,incident_ops,500,latest_state,99.91342854778512,1,1,1
2,1.5,incident_ops,500,aggregation,99.65562385552752,1,1,1
2,1.5,incident_ops,500,join,99.90430459571344,1,1,1
2,1.5,incident_ops,500,negative_evidence,99.96647478075992,1,1,1
2,1.5,incident_ops,500,threshold,74.4172871307717,1,1,0
2,1.5,incident_ops,500,provenance,74.4172871307717,1,1,0
2,1.5,incident_ops,500,lookup,99.95364703436483,1,1,1
2,1.5,incident_ops,500,rare_event,74.61225797281617,1,1,0
2,1.5,incident_ops,500,latest_state,99.88257955844823,1,1,1
2,1.5,incident_ops,500,aggregation,99.6559061315321,1,1,1
2,1.5,incident_ops,500,join,99.89467163644001,1,1,1
2,1.5,incident_ops,500,negative_evidence,99.96679982095239,1,1,1
2,1.5,incident_ops,500,threshold,74.61225797281617,1,1,0
2,1.5,incident_ops,500,provenance,74.61225797281617,1,1,0
2,1.5,identity_events,50,lookup,99.55625491738789,1,1,1
2,1.5,identity_events,50,rare_event,74.24914765276685,1,1,0
2,1.5,identity_events,50,latest_state,99.23734592184633,1,1,1
2,1.5,identity_events,50,aggregation,99.6338840807763,1,1,1
2,1.5,identity_events,50,join,99.33910306845004,1,1,1
2,1.5,identity_events,50,negative_evidence,99.70626803042224,1,1,1
2,1.5,identity_events,50,threshold,74.24914765276685,1,1,0
2,1.5,identity_events,50,provenance,74.24914765276685,1,1,0
2,1.5,identity_events,50,lookup,99.53801671939492,1,1,1
2,1.5,identity_events,50,rare_event,78.22916884912736,1,1,0
2,1.5,identity_events,50,latest_state,99.33478597917409,1,1,1
2,1.5,identity_events,50,aggregation,99.59249093842318,1,1,1
2,1.5,identity_events,50,join,99.33583356030925,1,1,1
2,1.5,identity_events,50,negative_evidence,99.75067568983218,1,1,1
2,1.5,identity_events,50,threshold,78.22916884912736,1,1,0
2,1.5,identity_events,50,provenance,78.22916884912736,1,1,0
2,1.5,identity_events,50,lookup,99.54678976080571,1,1,1
2,1.5,identity_events,50,rare_event,68.22492656315569,1,1,0
2,1.5,identity_events,50,latest_state,99.13869072597566,1,1,1
2,1.5,identity_events,50,aggregation,99.46705832983635,1,1,1
2,1.5,identity_events,50,join,99.15337809483844,1,1,1
2,1.5,identity_events,50,negative_evidence,99.79122954259337,1,1,1
2,1.5,identity_events,50,threshold,68.22492656315569,1,1,0
2,1.5,identity_events,50,provenance,68.22492656315569,1,1,0
2,1.5,identity_events,50,lookup,99.54488386691777,1,1,1
2,1.5,identity_events,50,rare_event,74.23414940364093,1,1,0
2,1.5,identity_events,50,latest_state,99.03850177861477,1,1,1
2,1.5,identity_events,50,aggregation,99.54802259887006,1,1,1
2,1.5,identity_events,50,join,98.65557648043523,1,1,1
2,1.5,identity_events,50,negative_evidence,99.79388993513287,1,1,1
2,1.5,identity_events,50,threshold,74.23414940364093,1,1,0
2,1.5,identity_events,50,provenance,74.23414940364093,1,1,0
2,1.5,identity_events,50,lookup,99.54329290009008,1,1,1
2,1.5,identity_events,50,rare_event,74.29032325644732,1,1,0
2,1.5,identity_events,50,latest_state,98.94412670479542,1,1,1
2,1.5,identity_events,50,aggregation,99.63128234135714,1,1,1
2,1.5,identity_events,50,join,99.1431504409947,1,1,1
2,1.5,identity_events,50,negative_evidence,99.58624012737519,1,1,1
2,1.5,identity_events,50,threshold,74.29032325644732,1,1,0
2,1.5,identity_events,50,provenance,74.29032325644732,1,1,0
2,1.5,identity_events,100,lookup,99.76752767527675,1,1,1
2,1.5,identity_events,100,rare_event,79.12704269899842,1,1,0
2,1.5,identity_events,100,latest_state,99.66684238270955,1,1,1
2,1.5,identity_events,100,aggregation,99.73115445440169,1,1,1
2,1.5,identity_events,100,join,99.52240379546653,1,1,1
2,1.5,identity_events,100,negative_evidence,99.85608856088561,1,1,1
2,1.5,identity_events,100,threshold,79.12704269899842,1,1,0
2,1.5,identity_events,100,provenance,79.12704269899842,1,1,0
2,1.5,identity_events,100,lookup,99.76336861676279,1,1,1
2,1.5,identity_events,100,rare_event,73.20413682364624,1,1,0
2,1.5,identity_events,100,latest_state,99.51775791764382,1,1,1
2,1.5,identity_events,100,aggregation,99.69259047981238,1,1,1
2,1.5,identity_events,100,join,99.22830702921975,1,1,1
2,1.5,identity_events,100,negative_evidence,99.83361855866134,1,1,1
2,1.5,identity_events,100,threshold,73.20413682364624,1,1,0
2,1.5,identity_events,100,provenance,73.20413682364624,1,1,0
2,1.5,identity_events,100,lookup,99.76408497163214,1,1,1
2,1.5,identity_events,100,rare_event,82.07995777807099,1,1,0
2,1.5,identity_events,100,latest_state,99.37247658002374,1,1,1
2,1.5,identity_events,100,aggregation,99.74772397413906,1,1,1
2,1.5,identity_events,100,join,99.57039187227866,1,1,1
2,1.5,identity_events,100,negative_evidence,99.812112415886,1,1,1
2,1.5,identity_events,100,threshold,82.07995777807099,1,1,0
2,1.5,identity_events,100,provenance,82.07995777807099,1,1,0
2,1.5,identity_events,100,lookup,73.21458702438201,1,1,0
2,1.5,identity_events,100,rare_event,73.21458702438201,1,1,0
2,1.5,identity_events,100,latest_state,99.51858179363875,1,1,1
2,1.5,identity_events,100,aggregation,99.55654686577238,1,1,1
2,1.5,identity_events,100,join,99.4178688939509,1,1,1
2,1.5,identity_events,100,negative_evidence,99.78750105458533,1,1,1
2,1.5,identity_events,100,threshold,73.21458702438201,1,1,0
2,1.5,identity_events,100,provenance,73.21458702438201,1,1,0
2,1.5,identity_events,100,lookup,99.77314692693221,1,1,1
2,1.5,identity_events,100,rare_event,79.1268794513321,1,1,0
2,1.5,identity_events,100,latest_state,99.66235821682933,1,1,1
2,1.5,identity_events,100,aggregation,99.45344236349248,1,1,1
2,1.5,identity_events,100,join,99.2286995515695,1,1,1
2,1.5,identity_events,100,negative_evidence,99.81324188868372,1,1,1
2,1.5,identity_events,100,threshold,79.1268794513321,1,1,0
2,1.5,identity_events,100,provenance,79.1268794513321,1,1,0
2,1.5,identity_events,250,lookup,77.20323874295443,1,1,0
2,1.5,identity_events,250,rare_event,77.20323874295443,1,1,0
2,1.5,identity_events,250,latest_state,99.78720340813328,1,1,1
2,1.5,identity_events,250,aggregation,99.60913183225276,1,1,1
2,1.5,identity_events,250,join,99.7499375373188,1,1,1
2,1.5,identity_events,250,negative_evidence,99.95087680665365,1,1,1
2,1.5,identity_events,250,threshold,77.20323874295443,1,1,0
2,1.5,identity_events,250,provenance,77.20323874295443,1,1,0
2,1.5,identity_events,250,lookup,75.24187079199854,1,1,0
2,1.5,identity_events,250,rare_event,75.24187079199854,1,1,0
2,1.5,identity_events,250,latest_state,99.7673891923812,1,1,1
