case,domain,n_rows,task,method,bytes,reduction_pct,answer_preserved,invariants_preserved,recovered,latency_us
11,incident_ops,50,latest_state,Anomaly sampling,24478,74.32691803450626,0,0,0,59.64
11,incident_ops,50,latest_state,Task-aware unverified,169,99.82274896428758,0,0,0,3.075
11,incident_ops,50,latest_state,Pattern-retention guard,39534,58.53584351565368,1,1,1,65.278
11,incident_ops,50,latest_state,Invariant-preserving gate,1008,98.94278672190467,1,1,1,75.574
12,incident_ops,50,aggregation,Raw,95345,0.0,1,1,0,0.0
12,incident_ops,50,aggregation,Fixed projection,9670,89.85788452462111,0,0,0,44.698
12,incident_ops,50,aggregation,Head-tail sampling,37641,60.521264880172,0,0,0,0.451
12,incident_ops,50,aggregation,Anomaly sampling,24478,74.32691803450626,0,0,0,60.07
12,incident_ops,50,aggregation,Task-aware unverified,586,99.38538989983743,1,1,0,10.897
12,incident_ops,50,aggregation,Pattern-retention guard,47057,50.64555036971,1,1,1,67.301
12,incident_ops,50,aggregation,Invariant-preserving gate,582,99.38958519062354,1,1,1,78.969
13,incident_ops,50,join,Raw,95345,0.0,1,1,0,0.0
13,incident_ops,50,join,Fixed projection,9670,89.85788452462111,0,0,0,46.83
13,incident_ops,50,join,Head-tail sampling,37641,60.521264880172,0,0,0,0.52
13,incident_ops,50,join,Anomaly sampling,24478,74.32691803450626,0,0,0,64.056
13,incident_ops,50,join,Task-aware unverified,444,99.53432272274372,1,1,0,5.498
13,incident_ops,50,join,Pattern-retention guard,32023,66.41355078923907,1,1,1,64.337
13,incident_ops,50,join,Invariant-preserving gate,440,99.53851801352981,1,1,1,73.62
14,incident_ops,50,negative_evidence,Raw,95345,0.0,1,1,0,0.0
14,incident_ops,50,negative_evidence,Fixed projection,9670,89.85788452462111,1,1,0,45.979
14,incident_ops,50,negative_evidence,Head-tail sampling,37641,60.521264880172,0,0,0,0.491
14,incident_ops,50,negative_evidence,Anomaly sampling,24478,74.32691803450626,0,0,0,60.651
14,incident_ops,50,negative_evidence,Task-aware unverified,78,99.9181918296712,0,0,0,0.441
14,incident_ops,50,negative_evidence,Pattern-retention guard,28212,70.41061408568882,1,1,1,67.421
14,incident_ops,50,negative_evidence,Invariant-preserving gate,272,99.71472022654571,1,1,1,75.032
15,incident_ops,50,threshold,Raw,95345,0.0,1,1,0,0.0
15,incident_ops,50,threshold,Fixed projection,9670,89.85788452462111,0,0,0,46.5
15,incident_ops,50,threshold,Head-tail sampling,37641,60.521264880172,0,0,0,0.481
15,incident_ops,50,threshold,Anomaly sampling,24478,74.32691803450626,1,1,0,59.74
15,incident_ops,50,threshold,Task-aware unverified,181,99.81016309192931,1,1,0,3.014
15,incident_ops,50,threshold,Pattern-retention guard,32057,66.3778908175573,1,1,1,65.308
15,incident_ops,50,threshold,Invariant-preserving gate,24478,74.32691803450626,1,1,0,65.479
16,incident_ops,50,provenance,Raw,95345,0.0,1,1,0,0.0
16,incident_ops,50,provenance,Fixed projection,9670,89.85788452462111,0,0,0,46.66
16,incident_ops,50,provenance,Head-tail sampling,37641,60.521264880172,0,0,0,0.48
16,incident_ops,50,provenance,Anomaly sampling,24478,74.32691803450626,1,1,0,58.958
16,incident_ops,50,provenance,Task-aware unverified,467,99.51019980072368,1,1,0,4.056
16,incident_ops,50,provenance,Pattern-retention guard,24476,74.32901567989931,1,1,0,68.513
16,incident_ops,50,provenance,Invariant-preserving gate,24478,74.32691803450626,1,1,0,68.072
17,incident_ops,50,lookup,Raw,95327,0.0,1,1,0,0.0
17,incident_ops,50,lookup,Fixed projection,9689,89.83603805847241,0,0,0,45.608
17,incident_ops,50,lookup,Head-tail sampling,37747,60.40261415968193,0,0,0,0.551
17,incident_ops,50,lookup,Anomaly sampling,34074,64.2556673345432,0,0,0,63.375
17,incident_ops,50,lookup,Task-aware unverified,444,99.53423479182183,1,1,0,3.004
17,incident_ops,50,lookup,Pattern-retention guard,35965,62.27196911682944,1,1,1,65.308
17,incident_ops,50,lookup,Invariant-preserving gate,440,99.5384308747784,1,1,1,66.62
18,incident_ops,50,rare_event,Raw,95327,0.0,1,1,0,0.0
18,incident_ops,50,rare_event,Fixed projection,9689,89.83603805847241,1,1,0,46.15
18,incident_ops,50,rare_event,Head-tail sampling,37747,60.40261415968193,0,0,0,0.521
18,incident_ops,50,rare_event,Anomaly sampling,34074,64.2556673345432,1,1,0,58.387
18,incident_ops,50,rare_event,Task-aware unverified,256,99.73145069078015,1,1,0,3.505
18,incident_ops,50,rare_event,Pattern-retention guard,34072,64.25776537602148,1,1,0,63.626
18,incident_ops,50,rare_event,Invariant-preserving gate,34074,64.2556673345432,1,1,0,62.504
19,incident_ops,50,latest_state,Raw,95327,0.0,1,1,0,0.0
19,incident_ops,50,latest_state,Fixed projection,9689,89.83603805847241,1,1,0,46.099
19,incident_ops,50,latest_state,Head-tail sampling,37747,60.40261415968193,0,0,0,0.491
19,incident_ops,50,latest_state,Anomaly sampling,34074,64.2556673345432,0,0,0,56.394
19,incident_ops,50,latest_state,Task-aware unverified,171,99.82061745360706,0,0,0,3.095
19,incident_ops,50,latest_state,Pattern-retention guard,47185,50.50195642367849,1,1,1,63.806
19,incident_ops,50,latest_state,Invariant-preserving gate,909,99.04644014812173,1,1,1,74.022
20,incident_ops,50,aggregation,Raw,95327,0.0,1,1,0,0.0
20,incident_ops,50,aggregation,Fixed projection,9689,89.83603805847241,0,0,0,44.406
20,incident_ops,50,aggregation,Head-tail sampling,37747,60.40261415968193,0,0,0,0.441
20,incident_ops,50,aggregation,Anomaly sampling,34074,64.2556673345432,0,0,0,57.696
20,incident_ops,50,aggregation,Task-aware unverified,506,99.46919550599516,1,1,0,9.494
20,incident_ops,50,aggregation,Pattern-retention guard,43444,54.42634300880129,1,1,1,64.407
20,incident_ops,50,aggregation,Invariant-preserving gate,502,99.47339158895171,1,1,1,75.364
21,incident_ops,50,join,Raw,95327,0.0,1,1,0,0.0
21,incident_ops,50,join,Fixed projection,9689,89.83603805847241,0,0,0,44.697
21,incident_ops,50,join,Head-tail sampling,37747,60.40261415968193,0,0,0,0.451
21,incident_ops,50,join,Anomaly sampling,34074,64.2556673345432,0,0,0,57.636
21,incident_ops,50,join,Task-aware unverified,632,99.33701889286351,1,1,0,7.051
21,incident_ops,50,join,Pattern-retention guard,43430,54.44102929914925,1,1,1,62.023
21,incident_ops,50,join,Invariant-preserving gate,628,99.34121497582007,1,1,1,73.61
22,incident_ops,50,negative_evidence,Raw,95327,0.0,1,1,0,0.0
22,incident_ops,50,negative_evidence,Fixed projection,9689,89.83603805847241,1,1,0,45.318
22,incident_ops,50,negative_evidence,Head-tail sampling,37747,60.40261415968193,1,1,0,0.461
22,incident_ops,50,negative_evidence,Anomaly sampling,34074,64.2556673345432,0,0,0,57.095
22,incident_ops,50,negative_evidence,Task-aware unverified,78,99.91817638234708,0,0,0,0.471
22,incident_ops,50,negative_evidence,Pattern-retention guard,35973,62.263576950916324,1,1,1,61.693
22,incident_ops,50,negative_evidence,Invariant-preserving gate,195,99.7954409558677,1,1,1,69.585
23,incident_ops,50,threshold,Raw,95327,0.0,1,1,0,0.0
23,incident_ops,50,threshold,Fixed projection,9689,89.83603805847241,0,0,0,46.19
23,incident_ops,50,threshold,Head-tail sampling,37747,60.40261415968193,0,0,0,0.52
23,incident_ops,50,threshold,Anomaly sampling,34074,64.2556673345432,1,1,0,59.729
23,incident_ops,50,threshold,Task-aware unverified,181,99.81012724621566,1,1,0,3.185
23,incident_ops,50,threshold,Pattern-retention guard,41613,56.34709998216665,1,1,1,68.382
